TypeNamespacePrefix,TypeName,QualifiedType,ContentStyle,IsMetadata,IsAdapter,IsAugmentation,Keywords,ExampleContent,UsageInfo,Definition,SimpleTypeNamespacePrefix,SimpleTypeName,SimpleQualifiedType,ParentTypeNamespacePrefix,ParentTypeName,ParentQualifiedType
itcodes,ProcessingEstablishmentIDCodeSimpleType,itcodes:ProcessingEstablishmentIDCodeSimpleType,S,FALSE,FALSE,FALSE,,,,"A data type for a the identification code specifying the slaughtering, freezing, or other processing establishment.",itcodes,ProcessingEstablishmentIDCodeType,itcodes:ProcessingEstablishmentIDCodeType,,,
itcodes,ProcessingEstablishmentIDCodeType,itcodes:ProcessingEstablishmentIDCodeType,CSC,FALSE,FALSE,FALSE,,,,"A data type for a the identification code specifying the slaughtering, freezing, or other processing establishment.",,,,,,
it,ProcessingEstablishmentType,it:ProcessingEstablishmentType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a name [and address] of slaughtering, freezing, or other processing establishment.",,,,nc,OrganizationType,nc:OrganizationType
biom,ProcessingIndicatorCodeSimpleType,biom:ProcessingIndicatorCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a Redaction/Discontinuity Indicator Code.,biom,ProcessingIndicatorCodeType,biom:ProcessingIndicatorCodeType,,,
biom,ProcessingIndicatorCodeType,biom:ProcessingIndicatorCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a Redaction/Discontinuity Indicator Code.,,,,,,
ncic,PROCodeSimpleType,ncic:PROCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for Propulsion.,ncic,PROCodeType,ncic:PROCodeType,,,
ncic,PROCodeType,ncic:PROCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for Propulsion.,,,,,,
j,ProgramActivityType,j:ProgramActivityType,CCC,FALSE,FALSE,FALSE,,,,A data type for a set of details about the actions and events within a specific program.,,,,nc,ActivityType,nc:ActivityType
cyfs,ProgramAugmentationType,cyfs:ProgramAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about a program.,,,,,,
im,ProgramAugmentationType,im:ProgramAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about a program.,,,,,,
j,ProgramAugmentationType,j:ProgramAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about a Program.,,,,,,
j,ProgramEnrollmentType,j:ProgramEnrollmentType,CCC,FALSE,FALSE,FALSE,,,,A data type for a set of details required for a subject's participation in a specific program.,,,,nc,ActivityType,nc:ActivityType
nc,ProgramType,nc:ProgramType,CCC,FALSE,FALSE,FALSE,"projects, services, steps, actions, AA, drug rehab, parenting class, anger management",,"Within law enforcement, this can describe projects, programs, or services designed to reduce the likelihood of a person for committing crimes or to improve their understanding of laws and consequences.","A data type for a set of projects, activities, or services intended to meet a need.",,,,nc,ActivityType,nc:ActivityType
j,ProgramViolationType,j:ProgramViolationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a set of details describing activities and infractions of a subject in a program.,,,,j,OffenseType,j:OffenseType
nc,ProgressType,nc:ProgressType,CCC,FALSE,FALSE,FALSE,,,,A data type for a set of changes or advancements which bring someone closer to completing something.,,,,nc,ActivityType,nc:ActivityType
j,ProhibitedActDispositionAssociationType,j:ProhibitedActDispositionAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a relationship between a prohibited act and a disposition of the prohibited act.,,,,nc,AssociationType,nc:AssociationType
j,ProhibitedActType,j:ProhibitedActType,CCC,FALSE,FALSE,FALSE,,,,A data type for a violation of published rule/code of conduct for which a person can be held accountable for through sanction.,,,,nc,ActivityType,nc:ActivityType
em,ProhibitiveDeploymentConditionType,em:ProhibitiveDeploymentConditionType,CCC,FALSE,FALSE,FALSE,,,,A data type for the condition a person is prohibited from being deployed to,,,,,,
nc,ProperNameTextType,nc:ProperNameTextType,CSC,FALSE,FALSE,FALSE,,,,"A data type for a word or phrase by which a person or thing is known, referred, or addressed.",,,,nc,TextType,nc:TextType
ucr,PropertyCategoryCodeSimpleType,ucr:PropertyCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for categories or classifications of a property item.,ucr,PropertyCategoryCodeType,ucr:PropertyCategoryCodeType,,,
ucr,PropertyCategoryCodeType,ucr:PropertyCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for categories or classifications of a property item.,,,,,,
ucr,PropertyLossCodeSimpleType,ucr:PropertyLossCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for what happens to a property item.,ucr,PropertyLossCodeType,ucr:PropertyLossCodeType,,,
ucr,PropertyLossCodeType,ucr:PropertyLossCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for what happens to a property item.,,,,,,
j,ProtectionOrderType,j:ProtectionOrderType,CCC,FALSE,FALSE,FALSE,,,,A data type for a civil order protecting one individual from another.,,,,j,CourtOrderType,j:CourtOrderType
j,PublicationType,j:PublicationType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a collection of written, printed, illustrated, or blank sheets, made of paper, parchment, or other material, usually fastened together to hinge at one side.",,,,nc,ItemType,nc:ItemType
cyfs,PutativeParentChildAssociationType,cyfs:PutativeParentChildAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between a child and a person who is alleged to be the child's biological parent.,,,,cyfs,BiologicalParentChildAssociationType,cyfs:BiologicalParentChildAssociationType
nc,QuantityType,nc:QuantityType,CSC,FALSE,FALSE,FALSE,,,,A data type for a count or tally.,,,,nc,NumericType,nc:NumericType
ncic,RACCodeSimpleType,ncic:RACCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for Race.,ncic,RACCodeType,ncic:RACCodeType,,,
ndex,RACCodeSimpleType,ndex:RACCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a code that identifies the race of the person.,ndex,RACCodeType,ndex:RACCodeType,,,
ncic,RACCodeType,ncic:RACCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for Race.,,,,,,
ndex,RACCodeType,ndex:RACCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code that identifies the race of the person.,,,,,,
cbrncl,RadAlarmCategoryCodeSimpleType,cbrncl:RadAlarmCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type that defines the various code values for the categories of alarms.,cbrncl,RadAlarmCategoryCodeType,cbrncl:RadAlarmCategoryCodeType,,,
cbrncl,RadAlarmCategoryCodeType,cbrncl:RadAlarmCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for the categories of alarms.,,,,,,
cbrn,RadAlarmType,cbrn:RadAlarmType,CCC,FALSE,FALSE,FALSE,,,,A data type for radiation alarm information.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrncl,RadDetectorCategoryCodeSimpleType,cbrncl:RadDetectorCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type that defines the various code values for the categories of radiation detectors based on the type of particles and/or photon emission that can be detect from a radiological or nuclear substance.,cbrncl,RadDetectorCategoryCodeType,cbrncl:RadDetectorCategoryCodeType,,,
cbrncl,RadDetectorCategoryCodeType,cbrncl:RadDetectorCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for the categories of radiation detectors based on the type of particles and/or photon emission that can be detect from a radiological or nuclear substance.,,,,,,
cbrn,RadDetectorInformationType,cbrn:RadDetectorInformationType,CCC,FALSE,FALSE,FALSE,,,,A data type for information regarding a rad detector.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrncl,RadDetectorKindCodeSimpleType,cbrncl:RadDetectorKindCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type that defines the various code values for the kinds of radiation detectors that may compose a radiation instrument.,cbrncl,RadDetectorKindCodeType,cbrncl:RadDetectorKindCodeType,,,
cbrncl,RadDetectorKindCodeType,cbrncl:RadDetectorKindCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for the kinds of radiation detectors that may compose a radiation instrument.,,,,,,
cbrn,RadDetectorStateType,cbrn:RadDetectorStateType,CCC,FALSE,FALSE,FALSE,,,,A data type for the state(s) of a radiation detector used in collecting the measurement data.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrncl,RadInstrumentClassCodeSimpleType,cbrncl:RadInstrumentClassCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type that defines the various code values for the classes of radiation detection instruments based on type and use.,cbrncl,RadInstrumentClassCodeType,cbrncl:RadInstrumentClassCodeType,,,
cbrncl,RadInstrumentClassCodeType,cbrncl:RadInstrumentClassCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for the classes of radiation detection instruments based on type and use.,,,,,,
cbrn,RadInstrumentDataType,cbrn:RadInstrumentDataType,CCC,FALSE,FALSE,FALSE,,,,A data type for the output of a radiation detection instrument from a detection event.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrn,RadInstrumentInformationType,cbrn:RadInstrumentInformationType,CCC,FALSE,FALSE,FALSE,,,,A data type that provides information regarding a radiation detection instrument.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrncl,RadInstrumentModeCodeSimpleType,cbrncl:RadInstrumentModeCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type that defines the various code values  for the operating modes of a radiation detection instrument.,cbrncl,RadInstrumentModeCodeType,cbrncl:RadInstrumentModeCodeType,,,
cbrncl,RadInstrumentModeCodeType,cbrncl:RadInstrumentModeCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for the operating modes of a radiation detection instrument.,,,,,,
cbrn,RadInstrumentQualityControlType,cbrn:RadInstrumentQualityControlType,CCC,FALSE,FALSE,FALSE,,,,A data type for rad instrument quality control information.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrn,RadInstrumentStateType,cbrn:RadInstrumentStateType,CCC,FALSE,FALSE,FALSE,,,,A data type for the state of a radiation instrument used in collecting the measurement data.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrn,RadInstrumentVersionType,cbrn:RadInstrumentVersionType,CCC,FALSE,FALSE,FALSE,,,,A data type for version information for the relevant components of a radiation instrument.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrncl,RadionuclideCodeSimpleType,cbrncl:RadionuclideCodeSimpleType,S,FALSE,FALSE,FALSE,,,,"A data type for the kinds of radionuclides. Reference CFR 172.101, Appendix A, Table 2.",cbrncl,RadionuclideCodeType,cbrncl:RadionuclideCodeType,,,
cbrncl,RadionuclideCodeType,cbrncl:RadionuclideCodeType,CSC,FALSE,FALSE,FALSE,,,,"A data type for the kinds of radionuclides. Reference CFR 172.101, Appendix A, Table 2.",,,,,,
cbrn,RadItemInformationType,cbrn:RadItemInformationType,CCC,FALSE,FALSE,FALSE,,,,"A data type that provides information regarding an item from which radiation is being measured by the radiation instrument, and measurement data is reported in this xml document.",,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrn,RadItemQuantityType,cbrn:RadItemQuantityType,CCC,FALSE,FALSE,FALSE,,,,A data type for expressing a quantity measure of a item that is the source of the radiation measurement contained in this xml document.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrn,RadItemStateType,cbrn:RadItemStateType,CCC,FALSE,FALSE,FALSE,,,,A data type for the state of an item that is the subject of a radiation measurement.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrn,RadMeasurementGroupType,cbrn:RadMeasurementGroupType,CCC,FALSE,FALSE,FALSE,,,,A data type for identifying associated groups of RadMeasurements.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
cbrn,RadMeasurementType,cbrn:RadMeasurementType,CCC,FALSE,FALSE,FALSE,,,,A data type for a set of radiation measurements that were taken in the same time period.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
j,RapSheetCycleType,j:RapSheetCycleType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a criminal history cycle, based upon a fingerprint submission that either establishes the subject record or positively identifies the current submission to the existing subject record.",,,,,,
j,RapSheetNonCriminalInformationType,j:RapSheetNonCriminalInformationType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a criminal history cycle to report non-criminal fingerprinting events, related to employment background checks,  applications for certain licenses, such as concealed firearms",,,,j,RapSheetCycleType,j:RapSheetCycleType
j,RapSheetPersonBiometricsAssociationType,j:RapSheetPersonBiometricsAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between biometric information and a person.,,,,nc,AssociationType,nc:AssociationType
j,RapSheetPersonDNAType,j:RapSheetPersonDNAType,CCC,FALSE,FALSE,FALSE,,,,A data type for an element in the rapsheet used solely to report that a DNA sample has been taken from the subject and is available from a specific agency.,,,,,,
j,RapSheetPurposeCodeSimpleType,j:RapSheetPurposeCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a code set indicating the purpose for which the Rap Sheet will be used.,j,RapSheetPurposeCodeType,j:RapSheetPurposeCodeType,,,
j,RapSheetPurposeCodeType,j:RapSheetPurposeCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code set indicating the purpose for which the Rap Sheet will be used.,,,,,,
j,RapSheetType,j:RapSheetType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a ""Record of Arrests and Prosecutions"".",,,,nc,DocumentType,nc:DocumentType
cbrn,ReachbackDataType,cbrn:ReachbackDataType,CCC,FALSE,FALSE,FALSE,,,,A data type for information regarding Reachback.,,,,,,
cbrncl,ReachbackRecommendationCodeSimpleType,cbrncl:ReachbackRecommendationCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type that defines the variuos code values for the various Reachback Recommnedation.,cbrncl,ReachbackRecommendationCodeType,cbrncl:ReachbackRecommendationCodeType,,,
cbrncl,ReachbackRecommendationCodeType,cbrncl:ReachbackRecommendationCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type that defines the various Reachback Recommnedation Code,,,,,,
cbrncl,ReachbackRequestCodeSimpleType,cbrncl:ReachbackRequestCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type that defines the various code values for Reachback Request,cbrncl,ReachbackRequestCodeType,cbrncl:ReachbackRequestCodeType,,,
cbrncl,ReachbackRequestCodeType,cbrncl:ReachbackRequestCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type that defines the various reachback Request Code,,,,,,
nc,RealEstateType,nc:RealEstateType,CCC,FALSE,FALSE,FALSE,"cadastral, parcel",,,A data type for a piece of land and any permanent structures and natural resources on it.,,,,nc,ItemType,nc:ItemType
cyfs,ReasonForPlacementChangeCodeSimpleType,cyfs:ReasonForPlacementChangeCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for describing the reason for change in placement.,cyfs,ReasonForPlacementChangeCodeType,cyfs:ReasonForPlacementChangeCodeType,,,
cyfs,ReasonForPlacementChangeCodeType,cyfs:ReasonForPlacementChangeCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for describing the reason for the change in placement.,,,,,,
em,RecallCategoryCodeSimpleType,em:RecallCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for defining a recall message type,em,RecallCategoryCodeType,em:RecallCategoryCodeType,xs,token,xs:token
em,RecallCategoryCodeType,em:RecallCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code that represents the type of specified recalled message,,,,,,
em,RecommendationType,em:RecommendationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a credential class of recommendation,,,,,,
biom,RecordingAssignedVoiceCategoryCodeSimpleType,biom:RecordingAssignedVoiceCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type that indicates if the voice recording sample was obtained from a known subject.,biom,RecordingAssignedVoiceCategoryCodeType,biom:RecordingAssignedVoiceCategoryCodeType,,,
biom,RecordingAssignedVoiceCategoryCodeType,biom:RecordingAssignedVoiceCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type that indicates if the voice recording sample was obtained from a known subject.,,,,,,
biom,RecordingAwarenessCodeSimpleType,biom:RecordingAwarenessCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for recording awareness indicator.,biom,RecordingAwarenessCodeType,biom:RecordingAwarenessCodeType,,,
biom,RecordingAwarenessCodeType,biom:RecordingAwarenessCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for recording awareness indicator.,,,,,,
biom,RecordingContentDescriptorType,biom:RecordingContentDescriptorType,CCC,FALSE,FALSE,FALSE,,,,A data type for a recording content descriptor,,,,,,
biom,RecordingDurationType,biom:RecordingDurationType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a description of the duration of a recording, as expressed in time, size, and samplings.",,,,,,
biom,RecordingSettingDetailType,biom:RecordingSettingDetailType,CCC,FALSE,FALSE,FALSE,,,,A data type for a description of the details surrounding the creation of a recording,,,,,,
biom,RecordingSourceCategoryCodeSimpleType,biom:RecordingSourceCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for the enumeration of codes describing the kind of site or agency that created a recording.,biom,RecordingSourceCategoryCodeType,biom:RecordingSourceCategoryCodeType,,,
biom,RecordingSourceCategoryCodeType,biom:RecordingSourceCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for the representation of codes describing the kind of site or agency that created a recording,,,,,,
j,ReferralAugmentationType,j:ReferralAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about a referral.,,,,,,
nc,ReferralType,nc:ReferralType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a recommendation of a person to an activity, program, or product.",,,,nc,ActivityType,nc:ActivityType
j,RegisterActionType,j:RegisterActionType,CCC,FALSE,FALSE,FALSE,,,,A data type for a history of an action for a case.,,,,,,
ndex,RegisteredOffenderCategoryCodeSimpleType,ndex:RegisteredOffenderCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a code that identifies the category of a person's offender registration.,ndex,RegisteredOffenderCategoryCodeType,ndex:RegisteredOffenderCategoryCodeType,,,
ndex,RegisteredOffenderCategoryCodeType,ndex:RegisteredOffenderCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a code that identifies the category of a person's offender registration.,,,,,,
j,RegisteredOffenderOffenseOfRegistrationAssociationType,j:RegisteredOffenderOffenseOfRegistrationAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a relationship between a registered offender and an offense for which the offender must register.,,,,nc,AssociationType,nc:AssociationType
j,RegisteredOffenderType,j:RegisteredOffenderType,CCC,FALSE,FALSE,FALSE,,,,A data type for information about a person who is required to register information with a law enforcement agency due to having been convicted of a certain type of crime.,,,,,,
j,RegisterOfActionsType,j:RegisterOfActionsType,CCC,FALSE,FALSE,FALSE,,,,A data type for a history of actions for a case.,,,,,,
aamva_d20,RegistrationPlateColorCodeSimpleType,aamva_d20:RegistrationPlateColorCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for colors of a vehicle registration plate or license plate.,aamva_d20,RegistrationPlateColorCodeType,aamva_d20:RegistrationPlateColorCodeType,,,
aamva_d20,RegistrationPlateColorCodeType,aamva_d20:RegistrationPlateColorCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for colors of a vehicle registration plate or license plate.,,,,,,
aamva_d20,RegistrationStatusCodeSimpleType,aamva_d20:RegistrationStatusCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for activities recorded for a registration.,aamva_d20,RegistrationStatusCodeType,aamva_d20:RegistrationStatusCodeType,,,
aamva_d20,RegistrationStatusCodeType,aamva_d20:RegistrationStatusCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for activities recorded for a registration.,,,,,,
aamva_d20,RegistrationStatusDetailCodeSimpleType,aamva_d20:RegistrationStatusDetailCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for additional information regarding a registration status.,aamva_d20,RegistrationStatusDetailCodeType,aamva_d20:RegistrationStatusDetailCodeType,,,
aamva_d20,RegistrationStatusDetailCodeType,aamva_d20:RegistrationStatusDetailCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for additional information regarding a registration status.,,,,,,
nc,RelatedActivityAssociationType,nc:RelatedActivityAssociationType,CCC,FALSE,FALSE,FALSE,,,,A data type for an association between related activities.,,,,nc,AssociationType,nc:AssociationType
cyfs,RelatedCaseType,cyfs:RelatedCaseType,CCC,FALSE,FALSE,FALSE,,,,A data type for a case which is related in some way to another.,,,,nc,CaseType,nc:CaseType
im,RelativeLocationAugmentationType,im:RelativeLocationAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about a relative location.,,,,,,
nc,RelativeLocationHeadingSimpleType,nc:RelativeLocationHeadingSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a compass heading of a direction from a reference location.,nc,RelativeLocationHeadingType,nc:RelativeLocationHeadingType,,,
nc,RelativeLocationHeadingType,nc:RelativeLocationHeadingType,CSC,FALSE,FALSE,FALSE,,,,A data type for a compass heading of a direction from a reference location.,,,,,,
cbrn,RelativeLocationType,cbrn:RelativeLocationType,CCC,FALSE,FALSE,FALSE,,,,A data type for describing the relative location of an object.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
nc,RelativeLocationType,nc:RelativeLocationType,CCC,FALSE,FALSE,FALSE,,,,A data type for a location identified by its proximity to another location.,,,,,,
mo,RelativeOrientationType,mo:RelativeOrientationType,CCC,FALSE,FALSE,FALSE,,,,"A data type for the angles of rotation about the principle axes (normal, lateral, longitudinal) of some thing, relative to the Earth and direction of motion, measured in degrees.",,,,,,
j,ReleaseAugmentationType,j:ReleaseAugmentationType,CCC,FALSE,FALSE,TRUE,,,,A data type for additional information about a Release.,,,,,,
j,ReleaseReviewDecisionType,j:ReleaseReviewDecisionType,CCC,FALSE,FALSE,FALSE,,,,A data type for a decision or outcome of a discharge review.,,,,nc,ActivityType,nc:ActivityType
nc,ReleaseType,nc:ReleaseType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a freeing or discharging of someone or something from an activity, supervision, or obligation.",,,,nc,ActivityType,nc:ActivityType
hl7,ReligionCodeSimpleType,hl7:ReligionCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for a religion to which a person can subscribe or believe; a categorization of spiritual beliefs.,hl7,ReligionCodeType,hl7:ReligionCodeType,,,
hl7,ReligionCodeType,hl7:ReligionCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for a religion to which a person can subscribe or believe; a categorization of spiritual beliefs.,,,,,,
cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType,CCC,FALSE,FALSE,FALSE,,,,A data type providing a Remark via inheritance to applicable Types.,,,,,,
cbrn,ReportType,cbrn:ReportType,CCC,FALSE,FALSE,FALSE,,,,"A data type for a report provided on an unsolicited basis; ie, not in response to a request message (Pull), but by Push from the entity providing the report.",,,,,,
cyfs,RepresentationAppointmentCategoryCodeSimpleType,cyfs:RepresentationAppointmentCategoryCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for the type of appointment that is made,cyfs,RepresentationAppointmentCategoryCodeType,cyfs:RepresentationAppointmentCategoryCodeType,,,
cyfs,RepresentationAppointmentCategoryCodeType,cyfs:RepresentationAppointmentCategoryCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type for the type of appointment that is made,,,,,,
it,RepresentativePersonType,it:RepresentativePersonType,CCC,FALSE,FALSE,FALSE,,,,A data type for a name [and address] of a person representing an organization,,,,nc,PersonType,nc:PersonType
cbrn,RequestAgencyType,cbrn:RequestAgencyType,CCC,FALSE,FALSE,FALSE,,,,A data type to identify the source of a request message.,,,,,,
cbrn,RequestDataType,cbrn:RequestDataType,CCC,FALSE,FALSE,FALSE,,,,A data type to provide metadata about a request.,,,,,,
em,RequestResourceInformationType,em:RequestResourceInformationType,CCC,FALSE,FALSE,FALSE,,,,A data type for the description for RequestResourceInformationType,,,,,,
cbrncl,RequestScopeCodeSimpleType,cbrncl:RequestScopeCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type that defines the various code values for Request Scope.,cbrncl,RequestScopeCodeType,cbrncl:RequestScopeCodeType,,,
cbrncl,RequestScopeCodeType,cbrncl:RequestScopeCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type that defines the various Request Scope Code values,,,,,,
im,RequestStatusType,im:RequestStatusType,CCC,FALSE,FALSE,FALSE,,,,A data type for the classification of the status of an official request made by United States immigration authorities.,,,,,,
im,RequestType,im:RequestType,CCC,FALSE,FALSE,FALSE,,,,A data type for the official statement made by a United States immigration officer asking for an item or information.,,,,nc,ActivityType,nc:ActivityType
cyfs,RequiredPartyType,cyfs:RequiredPartyType,CCC,FALSE,FALSE,FALSE,,,,A data type for the party required to the next court event.,,,,,,
ucr,ResidentCodeSimpleType,ucr:ResidentCodeSimpleType,S,FALSE,FALSE,FALSE,,,,"A data type for whether or not a person was a resident of a town, city, or community in relation to some activity.",ucr,ResidentCodeType,ucr:ResidentCodeType,,,
ucr,ResidentCodeType,ucr:ResidentCodeType,CSC,FALSE,FALSE,FALSE,,,,"A data type for whether or not a person was a resident of a town, city, or community in relation to some activity.",,,,,,
im,ResidentRoleType,im:ResidentRoleType,CCC,FALSE,FALSE,FALSE,,,,A data type for the role of Resident that is played by a Person with respect to a Country,,,,im,PersonCountryRoleType,im:PersonCountryRoleType
biom,ResolutionMeansCodeSimpleType,biom:ResolutionMeansCodeSimpleType,S,FALSE,FALSE,FALSE,,,,"A data type for an information item for means of determining
  resolution.",biom,ResolutionMeansCodeType,biom:ResolutionMeansCodeType,,,
biom,ResolutionMeansCodeType,biom:ResolutionMeansCodeType,CSC,FALSE,FALSE,FALSE,,,,"A data type for an information item for means of determining
  resolution.",,,,,,
biom,ResolutionMethodInformationType,biom:ResolutionMethodInformationType,CCC,FALSE,FALSE,FALSE,,,,A data type for the optional field that states the method used for determining the pixel density of the image.,,,,,,
biom,ResolutionScaleUnitCodeSimpleType,biom:ResolutionScaleUnitCodeSimpleType,S,FALSE,FALSE,FALSE,,,,"A data type for a known scale units that indicates whether the known
  scales units are in inches or millimeters.",biom,ResolutionScaleUnitCodeType,biom:ResolutionScaleUnitCodeType,,,
biom,ResolutionScaleUnitCodeType,biom:ResolutionScaleUnitCodeType,CSC,FALSE,FALSE,FALSE,,,,"A data type for a known scale units that indicates whether the known
  scales units are in inches or millimeters.",,,,,,
em,ResourceInformationType,em:ResourceInformationType,CCC,FALSE,FALSE,FALSE,,,,A data type for information about a resource,,,,,,
em,ResourceLocationDetailsType,em:ResourceLocationDetailsType,CCC,FALSE,FALSE,FALSE,,,,"A data type that indicates resource location, destination, arrival and departure",,,,,,
em,ResourceScheduleType,em:ResourceScheduleType,CCC,FALSE,FALSE,FALSE,,,,A data type that has  elements related to the Resource schedule as a date or date/time,,,,,,
edxl_rm,ResponseCodeSimpleType,edxl_rm:ResponseCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type code  indicating an accept or decline of a Request,edxl_rm,ResponseCodeType,edxl_rm:ResponseCodeType,,,
edxl_rm,ResponseCodeType,edxl_rm:ResponseCodeType,CSC,FALSE,FALSE,FALSE,,,,A data type code  indicating an accept or decline of a Request,,,,,,
cbrn,ResponseReportType,cbrn:ResponseReportType,CCC,FALSE,FALSE,FALSE,,,,A data type for a report provided in response to a request message.,,,,cbrn,RemarksComplexObjectType,cbrn:RemarksComplexObjectType
biom,RestorationDataGranularityCodeSimpleType,biom:RestorationDataGranularityCodeSimpleType,S,FALSE,FALSE,FALSE,,,,A data type for the level of restoration and surface information coded in Field 12.010: Tooth data detail / TDD.,biom,RestorationDataGranularityCodeType,biom:RestorationDataGranularityCodeType,,,
